电影名称,电影地址,电影评分,电影类型,上映日期,国家地区
傲慢与偏见,https://movie.douban.com//subject//1418200//,8.5,"['剧情', '爱情']",['(2005)'],['法国 / 英国 / 美国']
新世纪福音战士剧场版：Air\/真心为你,https://movie.douban.com//subject//1308892//,9.4,"['剧情', '科幻', '动画']",['(1997)'],['日本']
梦之安魂曲,https://movie.douban.com//subject//1292270//,8.7,['剧情'],['(2000)'],['美国']
追随,https://movie.douban.com//subject//1397546//,8.9,"['悬疑', '惊悚', '犯罪']",['(1998)'],['英国']
我是山姆,https://movie.douban.com//subject//1306861//,8.8,"['剧情', '家庭']",['(2001)'],['美国']
福音战士新剧场版：破,https://movie.douban.com//subject//2567646//,9.3,"['剧情', '科幻', '动画']",['(2009)'],['日本']
花样年华,https://movie.douban.com//subject//1291557//,8.5,"['剧情', '爱情']",['(2000)'],['香港']
比海更深,https://movie.douban.com//subject//26694988//,8.7,"['剧情', '家庭']",['(2016)'],['日本']
真爱至上,https://movie.douban.com//subject//1292401//,8.5,"['å‰§æƒ…', 'å–œå‰§', 'çˆ±æƒ…']",['(2003)'],[]
幸福终点站,https://movie.douban.com//subject//1292274//,8.7,"['剧情', '喜剧', '爱情']",['(2004)'],['美国']
初恋这件小事,https://movie.douban.com//subject//4739952//,8.3,"['剧情', '喜剧', '爱情']",['(2010)'],['泰国']
再次出发之纽约遇见你,https://movie.douban.com//subject//6874403//,8.5,"['喜剧', '爱情', '音乐']",['(2013)'],['美国']
勇士,https://movie.douban.com//subject//3217169//,8.9,"['剧情', '家庭', '运动']",['(2011)'],['美国']
地球上的星星,https://movie.douban.com//subject//2363506//,8.8,"['剧情', '家庭', '儿童']",['(2007)'],['印度']
生活多美好,https://movie.douban.com//subject//1293749//,9.2,"['剧情', '爱情', '奇幻']",['(1946)'],['美国']
电锯惊魂,https://movie.douban.com//subject//1417598//,8.7,"['悬疑', '惊悚', '恐怖']",['(2004)'],['美国']
牯岭街少年杀人事件,https://movie.douban.com//subject//1292329//,8.8,"['剧情', '犯罪']",['(1991)'],['台湾']
恋恋笔记本,https://movie.douban.com//subject//1309163//,8.5,"['剧情', '爱情']",['(2004)'],['美国']
荒野生存,https://movie.douban.com//subject//1905462//,8.6,"['剧情', '传记', '冒险']",['(2007)'],['美国']
萤火虫之墓,https://movie.douban.com//subject//1293318//,8.7,"['å‰§æƒ…', 'åŠ¨ç”»', 'æˆ˜äº‰']",['(1988)'],[]
E.T. 外星人,https://movie.douban.com//subject//1294638//,8.5,"['剧情', '科幻']",['(1982)'],['美国']
被解救的姜戈,https://movie.douban.com//subject//6307447//,8.6,"['剧情', '动作', '西部', '冒险']",['(2012)'],['美国']
大卫·戈尔的一生,https://movie.douban.com//subject//1305725//,8.6,"['剧情', '悬疑', '犯罪']",['(2003)'],['美国 / 德国 / 英国']
人工智能,https://movie.douban.com//subject//1302827//,8.6,"['剧情', '科幻', '冒险']",['(2001)'],['美国']
东京教父,https://movie.douban.com//subject//1310177//,8.9,"['剧情', '喜剧', '动画']",['(2003)'],['日本']
千钧一发,https://movie.douban.com//subject//1300117//,8.7,"['å‰§æƒ…', 'ç§‘å¹»', 'æƒŠæ‚š']",['(1997)'],[]
青蛇,https://movie.douban.com//subject//1303394//,8.4,"['剧情', '奇幻', '古装']",['(1993)'],['香港']
比利·林恩的中场战事,https://movie.douban.com//subject//25983044//,8.4,"['剧情', '战争']",['(2016)'],['美国 / 英国 / 中国大陆']
雨人,https://movie.douban.com//subject//1291870//,8.6,['å‰§æƒ…'],['(1988)'],[]
亲爱的,https://movie.douban.com//subject//25798222//,8.4,"['剧情', '家庭']",['(2014)'],['中国大陆 / 香港']
